0:00:08.897187024 754921 0x56517d42b9e0 TRACE             GST_TRACER :0:: buffer, thread-id=(guint64)94907993864672, ts=(guint64)8897184559, pad-ix=(uint)0, element-ix=(uint)0, peer-pad-ix=(uint)1, peer-element-ix=(uint)1, buffer-size=(uint)4096, have-buffer-pts=(boolean)0, buffer-pts=(guint64)18446744073709551615, have-buffer-dts=(boolean)0, buffer-dts=(guint64)18446744073709551615, have-buffer-duration=(boolean)0, buffer-duration=(guint64)18446744073709551615, buffer-flags=(GstBufferFlags)0;
0:00:08.897195700 754921 0x56517d42b9e0 TRACE             GST_TRACER :0:: buffer, thread-id=(guint64)94907993864672, ts=(guint64)8897193236, pad-ix=(uint)0, element-ix=(uint)0, peer-pad-ix=(uint)1, peer-element-ix=(uint)1, buffer-size=(uint)4096, have-buffer-pts=(boolean)0, buffer-pts=(guint64)18446744073709551615, have-buffer-dts=(boolean)0, buffer-dts=(guint64)18446744073709551615, have-buffer-duration=(boolean)0, buffer-duration=(guint64)18446744073709551615, buffer-flags=(GstBufferFlags)0;
0:00:08.897208093 754921 0x56517d42b9e0 TRACE             GST_TRACER :0:: buffer, thread-id=(guint64)94907993864672, ts=(guint64)8897205489, pad-ix=(uint)0, element-ix=(uint)0, peer-pad-ix=(uint)1, peer-element-ix=(uint)1, buffer-size=(uint)4096, have-buffer-pts=(boolean)0, buffer-pts=(guint64)18446744073709551615, have-buffer-dts=(boolean)0, buffer-dts=(guint64)18446744073709551615, have-buffer-duration=(boolean)0, buffer-duration=(guint64)18446744073709551615, buffer-flags=(GstBufferFlags)0;
0:00:08.897216800 754921 0x56517d42b9e0 TRACE             GST_TRACER :0:: buffer, thread-id=(guint64)94907993864672, ts=(guint64)8897214315, pad-ix=(uint)0, element-ix=(uint)0, peer-pad-ix=(uint)1, peer-element-ix=(uint)1, buffer-size=(uint)4096, have-buffer-pts=(boolean)0, buffer-pts=(guint64)18446744073709551615, have-buffer-dts=(boolean)0, buffer-dts=(guint64)18446744073709551615, have-buffer-duration=(boolean)0, buffer-duration=(guint64)18446744073709551615, buffer-flags=(GstBufferFlags)0;
0:00:08.897226698 754921 0x56517d42b9e0 TRACE             GST_TRACER :0:: buffer, thread-id=(guint64)94907993864672, ts=(guint64)8897224254, pad-ix=(uint)0, element-ix=(uint)0, peer-pad-ix=(uint)1, peer-element-ix=(uint)1, buffer-size=(uint)4096, have-buffer-pts=(boolean)0, buffer-pts=(guint64)18446744073709551615, have-buffer-dts=(boolean)0, buffer-dts=(guint64)18446744073709551615, have-buffer-duration=(boolean)0, buffer-duration=(guint64)18446744073709551615, buffer-flags=(GstBufferFlags)0;
0:00:08.897254420 754921 0x56517d42b9e0 TRACE             GST_TRACER :0:: buffer, thread-id=(guint64)94907993864672, ts=(guint64)8897251405, pad-ix=(uint)0, element-ix=(uint)0, peer-pad-ix=(uint)1, peer-element-ix=(uint)1, buffer-size=(uint)4096, have-buffer-pts=(boolean)0, buffer-pts=(guint64)18446744073709551615, have-buffer-dts=(boolean)0, buffer-dts=(guint64)18446744073709551615, have-buffer-duration=(boolean)0, buffer-duration=(guint64)18446744073709551615, buffer-flags=(GstBufferFlags)0;
0:00:08.897263297 754921 0x56517d42b9e0 TRACE             GST_TRACER :0:: buffer, thread-id=(guint64)94907993864672, ts=(guint64)8897260872, pad-ix=(uint)0, element-ix=(uint)0, peer-pad-ix=(uint)1, peer-element-ix=(uint)1, buffer-size=(uint)4096, have-buffer-pts=(boolean)0, buffer-pts=(guint64)18446744073709551615, have-buffer-dts=(boolean)0, buffer-dts=(guint64)18446744073709551615, have-buffer-duration=(boolean)0, buffer-duration=(guint64)18446744073709551615, buffer-flags=(GstBufferFlags)0;
0:00:08.897272083 754921 0x56517d42b9e0 TRACE             GST_TRACER :0:: buffer, thread-id=(guint64)94907993864672, ts=(guint64)8897269619, pad-ix=(uint)0, element-ix=(uint)0, peer-pad-ix=(uint)1, peer-element-ix=(uint)1, buffer-size=(uint)4096, have-buffer-pts=(boolean)0, buffer-pts=(guint64)18446744073709551615, have-buffer-dts=(boolean)0, buffer-dts=(guint64)18446744073709551615, have-buffer-duration=(boolean)0, buffer-duration=(guint64)18446744073709551615, buffer-flags=(GstBufferFlags)0;
0:00:08.897280369 754921 0x56517d42b9e0 TRACE             GST_TRACER :0:: buffer, thread-id=(guint64)94907993864672, ts=(guint64)8897277894, pad-ix=(uint)0, element-ix=(uint)0, peer-pad-ix=(uint)1, peer-element-ix=(uint)1, buffer-size=(uint)4096, have-buffer-pts=(boolean)0, buffer-pts=(guint64)18446744073709551615, have-buffer-dts=(boolean)0, buffer-dts=(guint64)18446744073709551615, have-buffer-duration=(boolean)0, buffer-duration=(guint64)18446744073709551615, buffer-flags=(GstBufferFlags)0;
0:00:08.897289055 754921 0x56517d42b9e0 TRACE             GST_TRACER :0:: buffer, thread-id=(guint64)94907993864672, ts=(guint64)8897286610, pad-ix=(uint)0, element-ix=(uint)0, peer-pad-ix=(uint)1, peer-element-ix=(uint)1, buffer-size=(uint)4096, have-buffer-pts=(boolean)0, buffer-pts=(guint64)18446744073709551615, have-buffer-dts=(boolean)0, buffer-dts=(guint64)18446744073709551615, have-buffer-duration=(boolean)0, buffer-duration=(guint64)18446744073709551615, buffer-flags=(GstBufferFlags)0;
